BloodID,TL,BirdID,Ageclass,RightTarsus,LeftTarsus,OccasionDate,OccasionID,LayYear,BodyMass,TerritoryID,FieldPeriodID,Status,BreedGroupID,MaxOfMaxOfSeenDate,SexEstimate
3283,11736.54034,1605,A,23.8,,06/01/2007,1955,2000,13.6,8,77,BrF,3884,24/02/2015,0
4090,2639.147507,1605,A,23.9,,07/02/2009,2301,2000,15.5,8,90,BrF,4067,24/02/2015,0
4821,88.00527239,1605,A,23.9,,08/09/2011,3637,2000,14.5,8,105,BrF,5080,24/02/2015,0
231,3883.374374,1606,A,26.5,,13/12/2003,1224,2000,16.9,28,31,BrM,2611,04/07/2006,1
631,5100.431831,1606,A,26.4,,19/08/2005,1695,2000,17.5,28,37,BrM,667,04/07/2006,1
931,4156.294205,1606,A,26.6,27,04/07/2001,1030,2000,17.0,28,40,U,3156,04/07/2006,1
2806,6102.611489,1606,A,25.3,,12/11/2005,1738,2000,16.3,28,54,BrM,6328,04/07/2006,1
535,4858.030889,1607,A,24.9,,17/07/2005,1603,2001,16.5,13,37,BrM,656,26/02/2015,1
932,5938.472275,1607,CH,25.0,25,05/07/2001,1031,2001,16.6,40,40,FL,3165,26/02/2015,1
994,3361.774409,1607,A,25.1,,18/07/2002,1051,2001,15.9,40,41,ABX,798,26/02/2015,1
3101,5791.132559,1607,A,24.8,,06/07/2006,1840,2001,17.5,13,75,BrM,3770,26/02/2015,1
3101,2848.330906,1607,A,24.8,,06/07/2006,1840,2001,17.5,13,75,BrM,3770,26/02/2015,1
3834,4162.643734,1607,A,24.6,,28/08/2007,2234,2001,16.9,13,82,BrM,4198,26/02/2015,1
3834,4416.029578,1607,A,24.6,,28/08/2007,2234,2001,16.9,13,82,BrM,4198,26/02/2015,1
3906,1840.44913,1607,A,25.0,,21/01/2008,2136,2001,17.2,13,85,BrM,4323,26/02/2015,1
4650,7107.453956,1607,A,24.9,,31/08/2010,3502,2001,16.8,13,104,BrM,4968,26/02/2015,1
4650,8267.201227,1607,A,24.9,,31/08/2010,3502,2001,16.8,13,104,BrM,4968,26/02/2015,1
5727,7536.800599,1607,A,24.3,,26/09/2013,4869,2001,16.9,13,122,BrM,6164,26/02/2015,1
299,5029.118081,1608,A,24.4,,25/05/2004,1266,2000,15.6,116,32,BrM,2795,13/01/2007,1
933,61.94341534,1608,SA,24.7,24.5,06/07/2001,1032,2000,16.1,116,40,BrM,3220,13/01/2007,1
3313,4747.616471,1608,A,24.6,,13/01/2007,1967,2000,15.6,116,77,BrM,3962,13/01/2007,1
106,6333.778235,1609,A,24.6,,01/07/2003,1154,2001,16.4,94,30,BrM,513,12/08/2003,1
934,4492.500337,1609,FL,24.5,24.4,07/07/2001,1033,2001,14.0,166,40,FL,3244,12/08/2003,1
935,2634.877812,1610,SA,27.1,27.1,08/07/2001,1034,2000,17.0,155,40,BrM,3239,14/01/2007,1
681,910.1503672,1611,A,24.9,,07/09/2005,1728,2000,16.0,72,37,BrM,698,31/07/2012,1
637,6140.470631,1611,A,24.5,,25/08/2005,1703,2000,15.0,32,37,BrM,669,31/07/2012,1
637,10126.05383,1611,A,24.5,,25/08/2005,1703,2000,15.0,32,37,BrM,669,31/07/2012,1
637,7525.916511,1611,A,24.5,,25/08/2005,1703,2000,15.0,32,37,BrM,669,31/07/2012,1
